屬性	guild	鳥種	時段	距離	觀察狀態	數量	堤內/外	結群	備註	樣區編號	調查樣區	樣點編號	座標系統	X	Y	調查者	"調查旅次
編號"	天氣代號	風速代號	"開始時間
（時）"	"開始時間
（分）"	年	月	日
03引進種	Landbirds	野鴿	A	A	E	2	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	白頭翁	A	C	E	2	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	白頭翁	A	D	E	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
04過境/冬候鳥	Landbirds	黃鶺鴒	A	C	E	4	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	斑文鳥	A	E	E	2	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
03引進種	Landbirds	野鴿	A	G	E	6	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	灰頭鷦鶯	A	C	S	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
03引進種	Landbirds	家八哥	A	H	E	2	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
02夏候鳥	Landbirds	家燕	A	B	E	2	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	褐頭鷦鶯	B	D	S	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	粉紅鸚嘴	B	D	C	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
03引進種	Landbirds	黑領椋鳥	B	H	E	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Waterbird	白腹秧雞	C	C	S	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	灰頭鷦鶯	C	B	C	1	外			D	大漢溪	1	TWD97/TM2	298298.5707	2770119.402	呂亞融	1	C	1	7	0	2013	3	30
01留鳥	Landbirds	小雲雀	A	C	E	1	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	小雲雀	A	F	E	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	褐頭鷦鶯	A	C	S	1	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	白頭翁	A	G	E	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	白頭翁	A	B	E	1	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	白頭翁	A	C	E	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	灰頭鷦鶯	A	C	S	1	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	斑文鳥	A	C	E	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
03引進種	Landbirds	野鴿	B	H	E	6	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
03引進種	Landbirds	家八哥	B	H	E	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
03引進種	Landbirds	黑領椋鳥	B	H	E	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
03引進種	Landbirds	野鴿	C	F	E	3	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
03引進種	Landbirds	野鴿	C	B	E	1	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
01留鳥	Landbirds	白頭翁	C	B	C	2	外			D	大漢溪	2	TWD97/TM2	298051.1997	2770093.536	呂亞融	1	C	1	7	16	2013	3	30
